Table 2-1. SAM D21 E/G/J and SAM D21 EL/GL Product Family Features,,,,,,,,,,,,,,,,,,,,,,
,,,,,Oscillators,,Peripherals,,,,,,,,,,,,Analog,,,
Device,Program Memory (KB),Data Memory (KB),Pins,Packages,Internal,External,USB,SERCOM,TC-Waveform /PWM Output/Capture Input Channels per TCx Instance,TCC,Waveform /PWM Output Channels per TCCx Instance,I2S,DMA Channels,RTC,WDT,Event System (Channels),External Interrupt Lines,I/O Pins,ADC Channels,Analog Comparator,DAC,"PTC (Mutual/Self-capacitance Channels)"""
ATSAMD21E15A,32,4,32,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,4,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,26,10,2,Y,"60/6"
ATSAMD21E16A,64,8,32,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,4,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,26,10,2,Y,"60/6"
ATSAMD21E17A,128,16,32,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,4,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,26,10,2,Y,"60/6"
ATSAMD21E18A,256,32,32,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,4,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,26,10,2,Y,"60/6"
ATSAMD21E15B,32,4,32,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,4,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,26,10,2,Y,"60/6"
ATSAMD21E16B,64,8,32,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,4,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,26,10,2,Y,"60/6"
ATSAMD21E15C,32,4,35,WLCSP,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,4,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,26,10,2,Y,"60/6"
ATSAMD21E16C,64,8,35,WLCSP,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,4,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,26,10,2,Y,"60/6"
ATSAMD21G15A,32,4,48,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,38,14,2,Y,"120/10"
ATSAMD21G16A,64,8,48,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,38,14,2,Y,"120/10"
ATSAMD21G17A,128,16,48,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,38,14,2,Y,"120/10"
ATSAMD21G18A,256,32,48,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,38,14,2,Y,"120/10"
ATSAMD21G15B,32,4,48,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,38,14,2,Y,"120/10"
ATSAMD21G16B,64,8,48,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"3-2",3,"8/4/2",Y,12,Y,Y,12,16,38,14,2,Y,"120/10"
ATSAMD21J15A,32,4,64,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"5-2",3,"8/4/2",Y,12,Y,Y,12,16,52,20,2,Y,"256/16"
ATSAMD21J16A,64,8,64,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"5-2",3,"8/4/2",Y,12,Y,Y,12,16,52,20,2,Y,"256/16"
ATSAMD21J17A,128,16,64,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"5-2",3,"8/4/2",Y,12,Y,Y,12,16,52,20,2,Y,"256/16"
ATSAMD21J18A,256,32,64,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"5-2",3,"8/4/2",Y,12,Y,Y,12,16,52,20,2,Y,"256/16"
ATSAMD21J15B,32,4,64,TQFP/QFN/UFBGA,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"5-2",3,"8/4/2",Y,12,Y,Y,12,16,52,20,2,Y,"256/16"
ATSAMD21J16B,64,8,64,TQFP/QFN/UFBGA,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"5-2",3,"8/4/2",Y,12,Y,Y,12,16,52,20,2,Y,"256/16"
ATSAMD21E15L,32,4,32,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC,N,4,"3-2",3,"6/4/2",N,12,Y,Y,12,16,26,14,4,Y,N
ATSAMD21E16L,64,8,32,TQFP/QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC,N,4,"3-2",3,"6/4/2",N,12,Y,Y,12,16,26,14,4,Y,N
ATSAMD21G16L,64,8,48,QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC,Y,6,"5-2",3,"8/4/2",N,12,Y,Y,12,16,38,18,4,Y,N
ATSAMD21E17D,128,16,32,TQFP/QFN/WLCSP,OSC32K/OSCULP32K/OSC8M/DFLL48M,XOSC32K/XOSC,Y,4,"3-2",4,"6/4/2/6",Y,12,Y,Y,12,16,26,10,2,Y,"30/6"
ATSAMD21G17D,128,16,48,QFN/TQFP,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"3-2",4,"8/4/2/8",Y,12,Y,Y,12,16,38,14,2,Y,"120/10"
ATSAMD21J17D,128,16,64,QFN/TQFP/UFBGA,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC32K/XOSC,Y,6,"5-2",4,"8/4/2/8",Y,12,Y,Y,12,16,52,20,2,Y,"256/16"
ATSAMD21E17L,128,16,32,QFN/TQFP,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC,N,4,"3-2",4,"6/4/2/6",N,12,Y,Y,12,16,26,14,4,Y,N
ATSAMD21G17L,128,16,48,QFN,OSC32K/OSCULP32K/OSC8M/DFLL48M/FDPLL96M,XOSC,N,6,"5-2",4,"8/4/2/8",N,12,Y,Y,12,16,38,18,4,Y,N
