Table 1-2. SAM D51/E51 Family Features without Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Peripherals,,,,,,,,,,,,,,,,,,Analog,,,,,Security,,,,
Device,Flash (KB),SRAM (KB) / Backup RAM (KB),Pins,Packages,CAN-FD,SERCOM,TC/Compare,TCC (24-bit/16-bit),I2S,USB,QSPI,SDHC,DMA Channels,PCC (data size),CCL,Position Decoder,RTC,WDT,Frequency Measurement,Event System (Channels),External Interrupt Lines,I/O Pins,ADC (Channels ADC0/ADC1),Analog Comparators (Channels),DAC (Channels),PTC (Mutual/Self-capacitance Channels),Temperature Sensor,AES,TRNG,Public Key Cryptography (PUKCC),Integrity Check Monitor,Tamper Pins
SAMD51P20,1024,256,128,TQFP,N,8,"8/2","2/3",Y,Y,Y,2,32,14,4,Y,Y,Y,Y,32,16,99,"16/16",4,2,256/32,Y,Y,Y,Y,Y,5
SAMD51P20,1024,256,120,TFBGA,N,8,"8/2","2/3",Y,Y,Y,2,32,14,4,Y,Y,Y,Y,32,16,99,"16/16",4,2,256/32,Y,Y,Y,Y,Y,5
SAMD51P19,512,192,128,TQFP,N,8,"8/2","2/3",Y,Y,Y,2,32,14,4,Y,Y,Y,Y,32,16,99,"16/16",4,2,256/32,Y,Y,Y,Y,Y,5
SAMD51P19,512,192,120,TFBGA,N,8,"8/2","2/3",Y,Y,Y,2,32,14,4,Y,Y,Y,Y,32,16,99,"16/16",4,2,256/32,Y,Y,Y,Y,Y,5
SAMD51N20,1024,256,100,TQFP,N,8,"8/2","2/3",Y,Y,Y,2,32,14,4,Y,Y,Y,Y,32,16,81,"16/12",4,2,256/32,Y,Y,Y,Y,Y,5
SAMD51N19,512,192,100,TQFP,N,8,"8/2","2/3",Y,Y,Y,2,32,14,4,Y,Y,Y,Y,32,16,81,"16/12",4,2,256/32,Y,Y,Y,Y,Y,5
SAMD51J20,1024,256,64,"TQFP,VQFN,WLCSP",N,6,"6/2","2/3",Y,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,51,"16/8",4,2,256/32,Y,Y,Y,Y,Y,3
SAMD51J19,512,192,64,"TQFP,VQFN,WLCSP",N,6,"6/2","2/3",Y,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,51,"16/8",4,2,256/32,Y,Y,Y,Y,Y,3
SAMD51J18,256,128,64,"TQFP,VQFN",N,6,"6/2","2/3",Y,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,51,"16/8",4,2,256/32,Y,Y,Y,Y,Y,3
SAMD51G19,512,192,48,VQFN,N,6,"4/2","2/1",N,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,37,"16/4",4,2,121/22,Y,Y,Y,Y,Y,2
SAMD51G18,256,128,48,VQFN,N,6,"4/2","2/1",N,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,37,"16/4",4,2,121/22,Y,Y,Y,Y,Y,2
SAME51N20,1024,256,100,TQFP,Y,8,"8/2","2/3",Y,Y,Y,1,32,14,4,Y,Y,Y,Y,32,16,81,"16/12",4,2,256/32,Y,Y,Y,Y,Y,5
SAME51N19,512,192,100,TQFP,Y,8,"8/2","2/3",Y,Y,Y,1,32,14,4,Y,Y,Y,Y,32,16,81,"16/12",4,2,256/32,Y,Y,Y,Y,Y,5
SAME51J20,1024,256,64,"TQFP,VQFN",Y,6,"6/2","2/3",Y,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,51,"16/8",4,2,256/32,Y,Y,Y,Y,Y,3
SAME51J19,512,192,64,"TQFP,VQFN",Y,6,"6/2","2/3",Y,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,51,"16/8",4,2,256/32,Y,Y,Y,Y,Y,3
SAME51J18,256,128,64,"TQFP,VQFN",Y,6,"6/2","2/3",Y,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,51,"16/8",4,2,256/32,Y,Y,Y,Y,Y,3
SAME51G18,256,128,48,VQFN,Y,6,"4/2","2/1",N,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,37,"16/4",4,2,121/22,Y,Y,Y,Y,Y,2
SAME51G19,512,192,48,VQFN,Y,6,"4/2","2/1",N,Y,Y,1,32,10,4,Y,Y,Y,Y,32,16,37,"16/4",4,2,121/22,Y,Y,Y,Y,Y,2
